Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Cost,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
co3-mvi-15-17,CO3 MVI 15-17 (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO3 MVI 15-17<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 773 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3353085,350626,shopify,,deny,manual,28059.173999999995,64415.0,23189.399999999998,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,1,CO3 MVI 15-17 (~1 in / ~3 Out 208-230V),,CO3-MVI CO3 MVI 15-17 – Wilo CO3-MVI Series ~1 in / ~3 Out 208-230V,"CO3-MVI CO3 MVI 15-17 <p><strong>Model:</strong> CO3 MVI 15-17<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 773 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 28059.173999999995 USD
Buy CO3 MVI 15-17 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,lb,,23189.399999999998,,,draft
co3-mvi-15-17,,,,,,FALSE,Voltage,3~ 208-230V,,,,,3353354,350626,shopify,,deny,manual,31467.743999999995,72240.0,26006.399999999998,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,26006.399999999998,,,draft
co3-mvi-15-17,,,,,,FALSE,Voltage,3~ 460V,,,,,3353843,350626,shopify,,deny,manual,30080.357999999997,69055.0,24859.8,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,24859.8,,,draft
co3-mvi-15-17,,,,,,FALSE,Voltage,3~ 575V,,,,,3354332,350626,shopify,,deny,manual,31613.67,72575.0,26127.0,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,26127.0,,,draft
co3-mvi-15-19,CO3 MVI 15-19 (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO3 MVI 15-19<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 856 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3353086,388274,shopify,,deny,manual,29002.248,66580.0,23968.8,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,1,CO3 MVI 15-19 (~1 in / ~3 Out 208-230V),,CO3-MVI CO3 MVI 15-19 – Wilo CO3-MVI Series ~1 in / ~3 Out 208-230V,"CO3-MVI CO3 MVI 15-19 <p><strong>Model:</strong> CO3 MVI 15-19<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 856 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 29002.248 USD
Buy CO3 MVI 15-19 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,lb,,23968.8,,,draft
co3-mvi-15-19,,,,,,FALSE,Voltage,3~ 208-230V,,,,,3353355,388274,shopify,,deny,manual,32447.843999999997,74490.0,26816.399999999998,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,26816.399999999998,,,draft
co3-mvi-15-19,,,,,,FALSE,Voltage,3~ 460V,,,,,3353844,388274,shopify,,deny,manual,31021.253999999997,71215.0,25637.399999999998,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,25637.399999999998,,,draft
co3-mvi-15-19,,,,,,FALSE,Voltage,3~ 575V,,,,,3354333,388274,shopify,,deny,manual,32556.743999999995,74740.0,26906.399999999998,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,26906.399999999998,,,draft
co3-mvi-15-2,CO3 MVI 15-2 (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO3 MVI 15-2<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 1/3 HP<br><strong>Weight:</strong> 502 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3353072,227703,shopify,,deny,manual,25750.493999999995,59115.0,21281.399999999998,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,1,CO3 MVI 15-2 (~1 in / ~3 Out 208-230V),,CO3-MVI CO3 MVI 15-2 – Wilo CO3-MVI Series ~1 in / ~3 Out 208-230V,"CO3-MVI CO3 MVI 15-2 <p><strong>Model:</strong> CO3 MVI 15-2<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 1/3 HP<br><strong>Weight:</strong> 502 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 25750.493999999995 USD
Buy CO3 MVI 15-2 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,lb,,21281.399999999998,,,draft
co3-mvi-15-2,,,,,,FALSE,Voltage,3~ 208-230V,,,,,3353341,227703,shopify,,deny,manual,24709.41,56725.0,20421.0,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,20421.0,,,draft
